time,temperature_2m_mean
2020-01-01,19.6
2020-01-02,20.5
2020-01-03,17.3
2020-01-04,17.2
2020-01-05,16.5
2020-01-06,15.6
2020-01-07,15.0
2020-01-08,17.0
2020-01-09,17.6
2020-01-10,17.0
2020-01-11,16.5
2020-01-12,16.3
2020-01-13,15.9
2020-01-14,17.3
2020-01-15,17.4
2020-01-16,18.8
2020-01-17,19.7
2020-01-18,20.1
2020-01-19,20.4
2020-01-20,16.9
2020-01-21,15.7
2020-01-22,16.8
2020-01-23,16.2
2020-01-24,15.9
2020-01-25,15.4
2020-01-26,15.7
2020-01-27,16.6
2020-01-28,17.4
2020-01-29,17.7
2020-01-30,19.0
2020-01-31,18.1
2020-02-01,17.1
2020-02-02,16.0
2020-02-03,15.4
2020-02-04,17.4
2020-02-05,18.7
2020-02-06,18.6
2020-02-07,18.9
2020-02-08,18.6
2020-02-09,18.9
2020-02-10,18.0
2020-02-11,18.5
2020-02-12,18.5
2020-02-13,18.6
2020-02-14,19.9
2020-02-15,21.0
2020-02-16,20.4
2020-02-17,20.9
2020-02-18,21.3
2020-02-19,21.7
2020-02-20,21.4
2020-02-21,21.8
2020-02-22,22.2
2020-02-23,22.9
2020-02-24,22.5
2020-02-25,20.4
2020-02-26,19.8
2020-02-27,20.1
2020-02-28,21.0
2020-02-29,21.5
2020-03-01,23.2
2020-03-02,24.2
2020-03-03,23.3
2020-03-04,22.7
2020-03-05,23.6
2020-03-06,22.6
2020-03-07,21.3
2020-03-08,21.9
2020-03-09,22.0
2020-03-10,22.3
2020-03-11,24.8
2020-03-12,26.1
2020-03-13,27.0
2020-03-14,26.3
2020-03-15,25.3
2020-03-16,25.6
2020-03-17,25.7
2020-03-18,25.1
2020-03-19,25.5
2020-03-20,24.8
2020-03-21,25.5
2020-03-22,23.8
2020-03-23,24.5
2020-03-24,25.3
2020-03-25,26.6
2020-03-26,27.8
2020-03-27,28.8
2020-03-28,29.2
2020-03-29,27.5
2020-03-30,27.2
2020-03-31,27.2
2020-04-01,28.8
2020-04-02,29.0
2020-04-03,28.3
2020-04-04,28.4
2020-04-05,28.1
2020-04-06,28.8
2020-04-07,30.2
2020-04-08,28.8
2020-04-09,28.5
2020-04-10,29.4
2020-04-11,28.7
2020-04-12,26.7
2020-04-13,29.0
2020-04-14,29.4
2020-04-15,27.6
2020-04-16,28.5
2020-04-17,27.5
2020-04-18,26.6
2020-04-19,28.2
2020-04-20,27.4
2020-04-21,25.4
2020-04-22,25.1
2020-04-23,24.8
2020-04-24,24.4
2020-04-25,24.5
2020-04-26,24.5
2020-04-27,25.7
2020-04-28,24.2
2020-04-29,24.8
2020-04-30,25.5
2020-05-01,25.6
2020-05-02,25.5
2020-05-03,25.7
2020-05-04,27.3
2020-05-05,28.3
